代號,名稱,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln,市值比重％,成交值比重％,成交筆數(筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,漲跌停,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,次日開盤參考價,次日漲停價,次日跌停價,注意股票(A),處置股票(D),全額交割(Y),市場別
Y9999,加權指數,2018/12/28,9649.97,9727.41,9630.77,9727.41,"3,102,573","74,821,387",0.8904,0.2037,"704,729,497","29,070,154",,,0.8865,100,100,"659,996",,14.1998,,1.5189,,0.9267,,4.5046,85.85,1.0023,,,,,,,TSE
Y9999,加權指數,2018/12/27,9555.01,9670.97,9555.01,9641.56,"3,676,346","82,030,943",1.7151,0.2162,"704,695,079","28,811,514",,,1.7005,100,100,"787,310",,14.0721,,1.5052,,0.9184,,4.545,162.57,1.2233,,,,,,,TSE
Y9999,加權指數,2018/12/26,9544.87,9591.91,9473.3,9478.99,"3,101,879","69,620,545",-0.5049,0.1884,"704,695,079","28,325,621",,,-0.5062,100,100,"718,300",,13.8332,,1.4797,,0.9028,,4.623,-48.1,1.245,,,,,,,TSE
Y9999,加權指數,2018/12/25,9559.7,9559.7,9479.06,9527.09,"3,588,943","73,621,130",-1.1682,0.2112,"704,717,238","28,470,390",,,-1.1751,100,100,"790,106",,13.9046,,1.4873,,0.9075,,4.5995,-112.61,0.8365,,,,,,,TSE
Y9999,加權指數,2018/12/24,9646.53,9658.95,9613.29,9639.7,"3,036,249","69,036,778",-0.067,0.1982,"704,717,692","28,807,892",,,-0.067,100,100,"702,536",,14.0704,,1.5051,,0.9183,,4.5456,-6.46,0.4733,,,,,,,TSE
Y9999,加權指數,2018/12/22,9639.24,9652.19,9625.31,9646.16,"2,329,327","38,712,598",-0.3153,0.1153,"704,717,690","28,827,003",,,-0.3158,100,100,"459,160",,14.0801,,1.5061,,0.9189,,4.5426,-30.51,0.2778,,,,,,,TSE
Y9999,加權指數,2018/12/21,9648.98,9683.95,9585.32,9676.67,"4,678,645","112,464,585",0.0222,0.3026,"704,617,690","28,916,067",,,0.0222,100,100,"904,805",,14.122,,1.5106,,0.9217,,4.5286,2.15,1.0195,,,,,,,TSE
Y9999,加權指數,2018/12/20,9729.29,9741.55,9658.5,9674.52,"4,259,530","95,625,770",-1.111,0.2443,"704,881,680","28,913,062",,,-1.1172,100,100,"905,163",,14.1167,,1.5098,,0.9213,,4.5307,-108.69,0.8489,,,,,,,TSE
Y9999,加權指數,2018/12/19,9720.92,9783.21,9720.92,9783.21,"3,976,346","91,299,708",0.6625,0.2594,"704,881,885","29,237,430",,,0.6603,100,100,"901,645",,14.2763,,1.5269,,0.9317,,4.4804,64.39,0.6409,,,,,,,TSE
Y9999,加權指數,2018/12/18,9756.46,9756.67,9701.1,9718.82,"4,276,570","96,717,303",-0.702,0.2814,"704,877,007","29,045,550",,,-0.7045,100,100,"944,025",,14.1827,,1.5169,,0.9256,,4.51,-68.71,0.5678,,,,,,,TSE
Y9999,加權指數,2018/12/17,9762.49,9826.88,9733.98,9787.53,"3,650,943","80,679,374",0.1368,0.2307,"704,883,007","29,250,394",,,0.1367,100,100,"779,211",,14.2835,,1.5276,,0.9322,,4.4784,13.37,0.9505,,,,,,,TSE
Y9999,加權指數,2018/12/14,9818.95,9818.95,9718.94,9774.16,"3,931,391","97,548,330",-0.8581,0.2653,"704,893,000","29,211,698",,,-0.8618,100,100,"886,843",,14.2646,,1.5256,,0.931,,4.4844,-84.6,1.0144,,,,,,,TSE
Y9999,加權指數,2018/12/13,9827.32,9871.96,9815.5,9858.76,"4,546,795","113,887,601",0.431,0.2932,"704,893,000","29,463,910",,,0.4301,100,100,"990,923",,14.3897,,1.539,,0.9391,,4.446,42.31,0.5752,,,,,,,TSE
Y9999,加權指數,2018/12/12,9741.45,9835.56,9741.45,9816.45,"4,137,436","102,401,002",1.1271,0.2799,"704,893,000","29,336,505",,,1.1208,100,100,"921,315",,14.3285,,1.5325,,0.9352,,4.4653,109.41,0.9695,,,,,,,TSE
Y9999,加權指數,2018/12/11,9661.72,9720.96,9661.72,9707.04,"3,653,814","92,803,242",0.6167,0.2528,"704,893,000","29,010,043",,,0.6148,100,100,"839,163",,14.1699,,1.5155,,0.9248,,4.5155,59.5,0.614,,,,,,,TSE
Y9999,加權指數,2018/12/10,9722.97,9722.97,9626.47,9647.54,"4,266,647","100,498,342",-1.1612,0.2686,"704,890,543","28,832,861",,,-1.168,100,100,"940,738",,14.0818,,1.5061,,0.9191,,4.5433,-113.34,0.9886,,,,,,,TSE
Y9999,加權指數,2018/12/07,9719.46,9785.2,9719.46,9760.88,"3,942,174","99,263,597",0.7864,0.2482,"704,890,543","29,171,401",,,0.7833,100,100,"868,323",,14.2367,,1.5239,,0.9299,,4.4905,76.16,0.6788,,,,,,,TSE
Y9999,加權指數,2018/12/06,9850.08,9850.08,9664.75,9684.72,"5,646,459","144,302,607",-2.3397,0.3815,"704,890,662","28,944,360",,,-2.3675,100,100,"1,301,591",,14.1256,,1.512,,0.9227,,4.5258,-232.02,1.8689,,,,,,,TSE
