代號,名稱,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln,市值比重％,成交值比重％,成交筆數(筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,漲跌停,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,次日開盤參考價,次日漲停價,次日跌停價,注意股票(A),處置股票(D),全額交割(Y),市場別
Y9999,加權指數,2015/12/31,8273.77,8338.06,8258.73,8338.06,"2,499,013","48,209,622",0.7013,0.175,"685,319,587","24,409,927",,,0.6989,100,100,"494,056",,13.9311,,1.4865,,0.8712,,4.0649,58.07,0.9581,,,,,,,TSE
Y9999,加權指數,2015/12/30,8313.37,8342.34,8262.52,8279.99,"3,048,259","53,537,173",-0.1678,0.191,"684,901,187","24,233,478",,,-0.168,100,100,"584,673",,13.83,,1.4757,,0.8649,,4.0945,-13.92,0.9624,,,,,,,TSE
Y9999,加權指數,2015/12/29,8349.27,8351.16,8286.84,8293.91,"2,947,257","52,840,284",-0.7726,0.1747,"684,903,235","24,273,626",,,-0.7756,100,100,"577,635",,13.8528,,1.4782,,0.8663,,4.0878,-64.58,0.7695,,,,,,,TSE
Y9999,加權指數,2015/12/28,8374.18,8394.6,8358.49,8358.49,"2,661,228","51,018,569",-0.0573,0.1892,"684,568,235","24,449,917",,,-0.0573,100,100,"550,988",,13.9535,,1.4889,,0.8726,,4.0583,-4.79,0.4318,,,,,,,TSE
Y9999,加權指數,2015/12/25,8328.94,8364.3,8320.1,8363.28,"2,699,121","40,256,202",0.4675,0.1817,"684,624,485","24,463,913",,,0.4665,100,100,"502,166",,13.9599,,1.4896,,0.873,,4.056,38.92,0.531,,,,,,,TSE
Y9999,加權指數,2015/12/24,8351.2,8393.41,8324.36,8324.36,"3,875,484","61,578,257",0.1041,0.2511,"684,624,485","24,349,047",,,0.1041,100,100,"701,722",,13.8949,,1.4827,,0.8689,,4.0751,8.66,0.8304,,,,,,,TSE
Y9999,加權指數,2015/12/23,8296.58,8359.25,8296.58,8315.7,"4,533,440","74,614,133",0.2769,0.2852,"684,987,669","24,329,906",,,0.2765,100,100,"808,935",,13.8774,,1.4806,,0.8677,,4.0785,22.96,0.7557,,,,,,,TSE
Y9999,加權指數,2015/12/22,8283.03,8316.44,8261.72,8292.74,"4,392,405","77,226,381",0.1276,0.2684,"684,987,729","24,262,930",,,0.1275,100,100,"781,532",,13.8377,,1.4764,,0.8652,,4.0898,10.57,0.6607,,,,,,,TSE
Y9999,加權指數,2015/12/21,8228.05,8289.59,8191.53,8282.17,"4,648,276","78,362,770",0.3009,0.3178,"684,977,749","24,231,659",,,0.3005,100,100,"820,957",,13.8192,,1.4744,,0.864,,4.0951,24.85,1.1876,,,,,,,TSE
Y9999,加權指數,2015/12/18,8272.41,8317.48,8241.32,8257.32,"4,300,834","84,513,449",-0.7494,0.2893,"684,970,074","24,159,715",,,-0.7523,100,100,"793,505",,13.7771,,1.4699,,0.8614,,4.1073,-62.35,0.9154,,,,,,,TSE
Y9999,加權指數,2015/12/17,8214.62,8319.67,8214.62,8319.67,"5,006,589","92,440,420",1.6495,0.3254,"684,970,074","24,341,432",,,1.6361,100,100,"923,092",,13.8802,,1.4809,,0.8678,,4.0766,135.01,1.2835,,,,,,,TSE
Y9999,加權指數,2015/12/16,8144.03,8204.2,8121.06,8184.66,"4,592,907","89,590,060",1.3787,0.2938,"685,355,448","23,949,134",,,1.3693,100,100,"865,608",,13.6591,,1.4568,,0.8537,,4.1434,111.31,1.0298,,,,,,,TSE
Y9999,加權指數,2015/12/15,8074.48,8140.06,8073.35,8073.35,"3,902,011","74,441,654",0.4128,0.2499,"685,355,448","23,620,319",,,0.412,100,100,"784,379",,13.4694,,1.4366,,0.8419,,4.2011,33.19,0.8297,,,,,,,TSE
Y9999,加權指數,2015/12/14,8058.67,8068.98,7980.59,8040.16,"3,945,349","76,003,661",-0.9331,0.2678,"685,355,448","23,519,051",,,-0.9375,100,100,"803,296",,13.41,,1.4302,,0.8382,,4.2191,-75.73,1.0891,,,,,,,TSE
Y9999,加權指數,2015/12/11,8217.33,8253.11,8108.68,8115.89,"4,394,623","89,006,527",-1.2205,0.3069,"685,355,417","23,737,546",,,-1.228,100,100,"906,046",,13.5363,,1.4437,,0.8461,,4.1803,-100.28,1.7579,,,,,,,TSE
Y9999,加權指數,2015/12/10,8214.27,8228.43,8133.42,8216.17,"4,578,151","89,201,902",-0.1634,0.3092,"685,371,138","24,030,519",,,-0.1636,100,100,"901,791",,13.7025,,1.4614,,0.8565,,4.1293,-13.45,1.1545,,,,,,,TSE
Y9999,加權指數,2015/12/09,8329.86,8343.37,8229.62,8229.62,"4,660,580","90,537,712",-1.3692,0.3223,"685,371,138","24,070,665",,,-1.3786,100,100,"935,042",,13.7273,,1.4641,,0.858,,4.1225,-114.24,1.3633,,,,,,,TSE
Y9999,加權指數,2015/12/08,8442.06,8453.63,8335.67,8343.86,"4,374,180","87,422,974",-1.306,0.3022,"685,374,240","24,405,487",,,-1.3146,100,100,"931,973",,13.915,,1.4841,,0.8697,,4.0659,-110.41,1.3953,,,,,,,TSE
Y9999,加權指數,2015/12/07,8432.47,8535.36,8432.47,8454.27,"4,093,597","89,104,532",0.6628,0.2678,"685,371,800","24,729,388",,,0.6607,100,100,"823,210",,14.1009,,1.5039,,0.8814,,4.0126,55.67,1.2251,,,,,,,TSE
Y9999,加權指數,2015/12/04,8423.7,8423.7,8355.75,8398.6,"4,023,683","82,371,605",-0.6795,0.2708,"685,374,198","24,567,442",,,-0.6818,100,100,"865,863",,14.0077,,1.494,,0.8755,,4.0391,-57.46,0.8036,,,,,,,TSE
Y9999,加權指數,2015/12/03,8424.54,8484.52,8393.29,8456.06,"4,456,284","81,879,390",-0.0158,0.2695,"685,375,827","24,735,279",,,-0.0158,100,100,"878,865",,14.1039,,1.5042,,0.8815,,4.0117,-1.34,1.0787,,,,,,,TSE
Y9999,加權指數,2015/12/02,8475.96,8497.19,8441.28,8457.4,"4,638,307","90,849,304",-0.0697,0.2844,"686,304,028","24,755,434",,,-0.0697,100,100,"931,784",,14.1215,,1.5036,,0.8812,,4.0095,-5.9,0.6606,,,,,,,TSE
Y9999,加權指數,2015/12/01,8359.27,8463.3,8339.5,8463.3,"4,472,591","91,597,727",1.7149,0.2958,"686,304,028","24,772,239",,,1.7004,100,100,"915,287",,14.1321,,1.5046,,0.8818,,4.0067,142.69,1.4879,,,,,,,TSE
Y9999,加權指數,2015/11/30,8339.83,8339.83,8239,8320.61,"5,703,618","137,072,781",-0.9262,0.5061,"682,137,925","24,283,758",,,-0.9306,100,100,"1,004,081",,13.2195,,1.5248,,0.8643,,4.081,-77.79,1.2006,,,,,,,TSE
Y9999,加權指數,2015/11/27,8493.18,8505.08,8397.49,8398.4,"3,541,567","66,741,696",-1.0195,0.2135,"682,140,165","24,510,397",,,-1.0247,100,100,"708,801",,13.3432,,1.5391,,0.8724,,4.0433,-86.5,1.268,,,,,,,TSE
Y9999,加權指數,2015/11/26,8411.16,8510.7,8411.16,8484.9,"4,189,963","80,124,274",1.1778,0.246,"682,159,330","24,763,958",,,1.1709,100,100,"824,013",,13.4809,,1.555,,0.8814,,4.0019,98.77,1.187,,,,,,,TSE
