,"工業生產指數(年增率)"
,,,,,,,,,,,,,,,,,,,"單位：基期=105年"
"統計期","總指數","年增率(%)","總指數(不含土石採取業)","年增率(%)","礦業及土石採取業","年增率(%)","製造業","年增率(%)","金屬機電工業","年增率(%)","資訊電子工業","年增率(%)","化學工業","年增率(%)","民生工業","年增率(%)","電力及燃氣供應業","年增率(%)","用水供應業","年增率(%)",
"104年7月","101.18","-2.87","101.16","-2.86","108.18","-8.96","100.50","-2.72","108.01","-1.10","96.34","-2.84","102.10","-4.31","102.75","-2.10","109.65","-5.11","103.11","-2.75",
"104年8月","96.97","-6.75","96.97","-6.71","95.30","-21.31","96.13","-7.00","97.07","-6.50","95.08","-7.72","96.99","-7.25","98.66","-4.06","107.63","-3.80","102.35","-3.02",
"104年9月","96.57","-5.76","96.57","-5.71","96.99","-19.50","96.20","-5.92","96.56","-6.80","95.30","-9.87","98.14","0.90","96.85","2.26","101.33","-3.29","98.47","-3.93",
"104年10月","97.97","-7.05","97.93","-7.03","112.46","-11.11","97.65","-7.73","98.60","-9.01","95.55","-10.98","100.54","-2.17","100.86","-0.53","101.30","2.94","101.95","-2.47",
"104年11月","93.45","-7.73","93.40","-7.73","113.79","-5.19","93.48","-8.18","94.89","-8.35","90.81","-12.93","95.76","-2.36","99.88","4.35","91.85","-1.32","98.25","-2.23",
"104年12月","97.45","-7.19","97.38","-7.20","124.89","-0.34","97.98","-7.36","99.80","-12.65","93.69","-10.20","102.73","1.91","106.09","-1.19","88.67","-5.13","105.01","1.13",
"105年","100.00","1.97","100.00","2.00","100.00","-9.67","100.00","1.91","100.00","-0.79","100.00","3.76","100.00","-0.14","100.00","2.18","100.00","3.43","100.00","0.50",
"105年1月","93.40","-8.84","93.36","-8.82","107.34","-18.88","93.41","-9.46","98.31","-8.11","88.52","-14.12","98.79","-2.41","98.44","-2.68","91.94","0.07","100.93","-2.31",
"105年2月","78.78","-7.77","78.78","-7.74","81.65","-18.15","78.35","-8.69","78.18","-5.77","75.60","-13.31","88.44","-1.39","73.76","-4.62","82.72","4.40","94.01","2.17",
"105年3月","100.25","-4.46","100.24","-4.45","104.08","-9.14","100.58","-5.05","107.74","-2.77","96.26","-8.96","104.49","-0.24","100.81","0.22","96.18","4.52","99.06","0.87",
"105年4月","93.95","-5.63","93.92","-5.63","103.93","-7.45","93.69","-6.59","98.76","-5.17","90.22","-8.82","97.60","-4.22","93.84","-2.80","96.48","7.27","97.08","4.36",
"105年5月","100.46","0.07","100.43","0.06","107.69","-2.17","100.10","-0.43","105.47","0.75","96.45","-1.25","103.79","-1.88","101.01","6.01","104.73","6.37","100.12","1.69",
"105年6月","102.05","1.58","102.05","1.60","99.62","-7.53","101.61","1.75","104.06","-0.95","101.33","4.28","101.19","-0.85","98.78","0.35","108.01","-0.08","97.69","-2.16",
"105年7月","102.06","0.87","102.07","0.90","99.44","-8.08","101.14","0.64","101.62","-5.92","100.37","4.18","103.52","1.39","99.61","-3.06","113.78","3.77","101.32","-1.74",
"105年8月","105.48","8.78","105.48","8.78","100.71","5.68","105.03","9.26","102.59","5.69","105.72","11.19","103.01","6.21","110.17","11.67","111.42","3.52","103.86","1.48",
"105年9月","104.38","8.09","104.43","8.14","85.18","-12.18","104.75","8.89","91.61","-5.13","115.51","21.21","94.36","-3.85","95.65","-1.24","101.03","-0.30","99.98","1.53",
"105年10月","104.71","6.88","104.73","6.94","95.57","-15.02","104.57","7.09","100.17","1.59","108.38","13.43","99.04","-1.49","104.24","3.35","106.99","5.62","103.60","1.62",
"105年11月","107.29","14.81","107.30","14.88","102.03","-10.33","108.42","15.98","103.67","9.25","112.79","24.20","100.89","5.36","109.71","9.84","94.14","2.49","99.01","0.77",
"105年12月","107.20","10.01","107.17","10.05","112.77","-9.70","108.39","10.62","107.82","8.04","108.81","16.14","104.83","2.04","114.02","7.47","92.57","4.40","103.32","-1.61",
"106年","105.00","5.00","105.01","5.01","98.00","-2.00","105.27","5.27","103.78","3.78","107.82","7.82","100.70","0.70","103.74","3.74","102.22","2.22","101.30","1.30",
