daily_return,open,close,open_close_return,gap,gap_return,cope_senti_score,chn_senti,booking_senti,std_pos_ant,std_neg_ant,std_pos_jou,std_neg_jou,std_sum_ant,std_sum_jou,lag1_daily_return,lag1_open,lag1_close,lag1_open_close_return,lag1_gap,lag1_gap_return,lag1_volume,lag1_market_turn,lag1_cpi_grate,lag1_ipi_grate,lag1_un_rate,lag1_M1B_grate,lag1_new_issue_stock_ratio,lag1_shtmrg,lag1_cope_senti_score,lag1_new_num,lag1_chn_senti,lag1_booking_senti,lag1_std_pos_ant,lag1_std_neg_ant,lag1_std_pos_jou,lag1_std_neg_jou,lag1_std_sum_ant,lag1_std_sum_jou
0.7407,7826.34,7836.84,0.1341623287513703,47.11999999999989,0.6057162543288388,5.579731659066667,-0.68,-0.888,0.8286749201801169,-0.7678357402657544,0.8923930281640458,-0.7638418753763649,0.8228383911745875,0.8865485184576154,1.0354,7738.05,7779.22,0.5320461873469424,38.55,0.500682,3416421000.0,0.3589,1.12,20.03,4.16,3.97,0.229,7.76,5.114441443225807,124.0,-0.7096774193548387,-0.8387096774193549,0.550811519010613,-0.3813838063178899,0.6604412556525877,-0.5135422914333413,0.5956455611696908,0.7029439279159779
-0.3937,7818.27,7805.99,-0.1570679958609853,-18.56999999999971,-0.2369577533801852,5.037614563743782,-0.582089552238806,-0.8955223880597015,0.9205386520957448,-1.0120781085170751,1.104726989070057,-1.1404187268942474,0.8539610644905553,0.9212293855599246,0.7407,7826.34,7836.84,0.1341623287513703,47.11999999999989,0.6057162543288388,4480963000.0,0.4844,1.12,20.03,4.16,3.97,0.229,7.91,5.579731659066667,125.0,-0.68,-0.888,0.8286749201801169,-0.7678357402657544,0.8923930281640458,-0.7638418753763649,0.8228383911745875,0.8865485184576154
-0.6521,7797.05,7755.09,-0.5381522498893817,-8.9399999999996,-0.1145274334197148,4.799466023756218,-0.5671641791044776,-0.9253731343283582,1.103767899103788,-1.2838373098990303,1.022793775894368,-1.1629682389611864,0.9973854341865828,0.755985254072451,-0.3937,7818.27,7805.99,-0.1570679958609853,-18.56999999999971,-0.2369577533801852,4172906000.0,0.4401,1.12,20.03,4.16,3.97,0.229,8.0,5.037614563743782,134.0,-0.582089552238806,-0.8955223880597015,0.9205386520957448,-1.0120781085170751,1.104726989070057,-1.1404187268942474,0.8539610644905553,0.9212293855599246
-0.4311,7737.07,7721.66,-0.1991710040105602,-18.02000000000044,-0.2323635186696793,5.248969215410053,-0.746031746031746,-0.9206349206349206,1.1698014352417263,-1.2990671834739034,0.9362446070468088,-1.3478742379100868,1.080309388765423,0.4356972461275945,-0.6521,7797.05,7755.09,-0.5381522498893817,-8.9399999999996,-0.1145274334197148,3868825000.0,0.3953,1.12,20.03,4.16,3.97,0.229,7.86,4.799466023756218,134.0,-0.5671641791044776,-0.9253731343283582,1.103767899103788,-1.2838373098990303,1.022793775894368,-1.1629682389611864,0.9973854341865828,0.755985254072451
0.2199,7726.4,7738.64,0.1584178919030944,4.739999999999782,0.0613857642009591,4.825799557747396,-0.65625,-0.921875,0.7981044511863931,-1.0837694827310909,0.689290978601774,-0.8269805091637943,0.6624708613124607,0.4703781132299037,-0.4311,7737.07,7721.66,-0.1991710040105602,-18.02000000000044,-0.2323635186696793,3738832000.0,0.36,1.12,20.03,4.16,3.97,0.229,7.75,5.248969215410053,126.0,-0.746031746031746,-0.9206349206349206,1.1698014352417263,-1.2990671834739034,0.9362446070468088,-1.3478742379100868,1.080309388765423,0.4356972461275945
0.9433,7780.98,7811.64,0.3940377690213927,42.33999999999924,0.5471245593540885,6.78330463312325,-0.6134453781512605,-0.9159663865546218,1.419905733791155,-1.283559750052004,1.3736064069564735,-0.8562948748508151,1.4220279168160024,1.6536076967204565,0.2199,7726.4,7738.64,0.1584178919030944,4.739999999999782,0.0613857642009591,3891674000.0,0.4047,1.12,20.03,4.16,3.97,0.229,7.79,4.825799557747396,128.0,-0.65625,-0.921875,0.7981044511863931,-1.0837694827310909,0.689290978601774,-0.8269805091637943,0.6624708613124607,0.4703781132299037
0.0961,7843.57,7819.15,-0.3113378219356756,31.92999999999938,0.4087489950893715,5.696500905932203,-0.6440677966101694,-0.8813559322033898,0.9370852536648278,-0.7647192304826399,1.1497325568707877,-0.9712973863922044,0.9695982858064334,1.1537952002459988,0.9433,7780.98,7811.64,0.3940377690213927,42.33999999999924,0.5471245593540885,5021568000.0,0.5434,1.12,20.03,4.16,3.97,0.229,7.96,6.78330463312325,119.0,-0.6134453781512605,-0.9159663865546218,1.419905733791155,-1.283559750052004,1.3736064069564735,-0.8562948748508151,1.4220279168160024,1.6536076967204565
0.0616,7795.68,7823.97,0.3628932947478598,-23.469999999999345,-0.300160503379515,5.536796943173334,-0.728,-0.936,1.1797746778093512,-1.3175431560635504,1.1116509225778617,-1.079535044313512,1.0867247413634382,0.988551068758525,0.0961,7843.57,7819.15,-0.3113378219356756,31.92999999999938,0.4087489950893715,3732799000.0,0.3936,1.12,20.03,4.16,3.97,0.229,8.0,5.696500905932203,118.0,-0.6440677966101694,-0.8813559322033898,0.9370852536648278,-0.7647192304826399,1.1497325568707877,-0.9712973863922044,0.9695982858064334,1.1537952002459988
-0.7535,7823.51,7765.02,-0.7476183963463942,-0.4600000000000364,-0.0058793681468619,4.02083829002849,-0.7606837606837606,-0.9487179487179488,0.6295372148615275,-1.0955217344770884,0.5496583195277122,-1.1020845563804509,0.4316656375573056,-0.0253542812325173,0.0616,7795.68,7823.97,0.3628932947478598,-23.469999999999345,-0.300160503379515,3409241000.0,0.3521,1.12,20.03,4.16,3.97,0.229,8.08,5.536796943173334,125.0,-0.728,-0.936,1.1797746778093512,-1.3175431560635504,1.1116509225778617,-1.079535044313512,1.0867247413634382,0.988551068758525
-0.8318,7766.09,7700.43,-0.8454705005993988,1.069999999999709,0.0137797455769554,3.923427441596045,-0.6271186440677966,-0.864406779661017,0.5386134402694011,-1.13977699359063,0.3754059929146268,-1.0547305810398788,0.2928518641081654,-0.2905609120148826,-0.7535,7823.51,7765.02,-0.7476183963463942,-0.4600000000000364,-0.0058793681468619,4055375000.0,0.4116,1.12,20.03,4.16,3.97,0.229,8.08,4.02083829002849,117.0,-0.7606837606837606,-0.9487179487179488,0.6295372148615275,-1.0955217344770884,0.5496583195277122,-1.1020845563804509,0.4316656375573056,-0.0253542812325173
