date,pos_ant,neg_ant,pos_jou,neg_jou,sum_ant,sum_jou,std_pos_ant,std_neg_ant,std_pos_jou,std_neg_jou,std_sum_ant,std_sum_jou
2013-01-01,9.10682125,-2.7411256,21,-6,6.365695649999999,15,-1.494344899933636,1.3875461342436974,-1.5136738657980937,1.3918914782230098,-1.4827201080615302,-1.4166690673369258
2013-01-02,734.7757437180001,-179.255977197,1905,-851,555.5197665210001,1054,0.550811519010613,-0.38138380631788993,0.6604412556525877,-0.5135422914333413,0.5956455611696908,0.7029439279159779
2013-01-03,833.368121813,-217.81855913200002,2106,-962,615.549562681,1144,0.8286749201801169,-0.7678357402657544,0.8923930281640458,-0.7638418753763649,0.8228383911745875,0.8865485184576154
2013-01-04,865.96350412,-242.1905845,2290,-1129,623.77291962,1161,0.9205386520957448,-1.0120781085170751,1.104726989070057,-1.1404187268942474,0.8539610644905553,0.9212293855599246
2013-01-05,233.79761937599997,-58.882409675,465,-196,174.91520970099998,269,-0.8610976795590318,0.8249305956454214,-1.0013027862205446,0.9634507489511676,-0.8448162079527879,-0.8984961118083045
2013-01-06,67.93122338400002,-13.584065817,179,-51,54.34715756700002,128,-1.3285597878941813,1.278884447025665,-1.331343616759236,1.290418673921784,-1.3011262193926367,-1.1861433036568698
2013-01-07,930.9774898520001,-269.308410934,2219,-1139,661.6690789180001,1080,1.103767899103788,-1.2838373098990303,1.022793775894368,-1.1629682389611864,0.9973854341865829,0.755985254072451
2013-01-08,954.407719722,-270.828142616,2144,-1221,683.579577106,923,1.1698014352417265,-1.2990671834739034,0.9362446070468089,-1.3478742379100868,1.080309388765423,0.4356972461275945
2013-01-09,822.521010517,-249.34439652499998,1930,-990,573.1766139920001,940,0.7981044511863931,-1.0837694827310909,0.689290978601774,-0.8269805091637943,0.6624708613124607,0.47037811322990375
2013-01-10,1043.150524503,-269.280714283,2523,-1003,773.8698102200001,1520,1.419905733791155,-1.283559750052004,1.3736064069564735,-0.8562948748508151,1.4220279168160024,1.6536076967204563
2013-01-11,871.834622055,-217.507574367,2329,-1054,654.327047688,1275,0.9370852536648278,-0.7647192304826399,1.1497325568707877,-0.9712973863922043,0.9695982858064334,1.1537952002459988
2013-01-12,174.221907093,-50.539188241999994,465,-213,123.682718851,252,-1.0290002128167186,0.9085415442995554,-1.0013027862205446,0.9251165784373712,-1.0387141607858743,-0.9331769789106137
2013-01-13,64.49172,-19.246347675,120,-72,45.245372325000005,48,-1.3382533577935842,1.222140327083946,-1.3994289629193157,1.243064698581212,-1.335573451925548,-1.3493473841383252
2013-01-14,957.9464574540001,-272.671790284,2296,-1102,685.2746671700002,1194,1.1797746778093512,-1.3175431560635504,1.1116509225778617,-1.0795350443135119,1.0867247413634382,0.988551068758525
2013-01-15,762.709446172,-250.51710943199998,1809,-1112,512.19233674,697,0.6295372148615275,-1.0955217344770884,0.5496583195277122,-1.1020845563804509,0.4316656375573056,-0.02535428123251738
2013-01-16,730.4475825200001,-254.933174939,1658,-1091,475.5144075810001,567,0.5386134402694011,-1.1397769935906301,0.3754059929146268,-1.0547305810398788,0.29285186410816544,-0.2905609120148826
2013-01-17,877.370772413,-286.201206427,1924,-1181,591.1695659860001,743,0.9526878144061605,-1.4531271541075808,0.6823670450939693,-1.2576761896423305,0.7305682053841204,0.06848806504431955
2013-01-18,1005.8425572030001,-260.817147548,2359,-990,745.0254096550001,1369,1.314760499595568,-1.1987427702566502,1.1843522244098112,-0.8269805091637943,1.3128614459405965,1.345559994811709
2013-01-19,254.431368512,-63.458221316,615,-256,190.973147196,359,-0.8029454793120429,0.7790744529984832,-0.8282044485254266,0.8281536765495331,-0.784042250736492,-0.714891521266667
2013-01-20,5.82811535,-0.4821948,9,-4,5.34592055,5,-1.5035852934651797,1.4101838346390145,-1.5275217328137032,1.3964013806363975,-1.486579617934261,-1.4370695773971076
