date,daily_return,open,close,volume,market_turn,open_close_return,gap,gap_return,cpi_grate,ipi_grate,un_rate,M1B_grate,new_issue_stock_ratio,shtmrg,cope_senti_score,new_num,chn_senti,booking_senti,pos_ant,neg_ant,pos_jou,neg_jou,sum_ant,sum_jou,std_pos_ant,std_neg_ant,std_pos_jou,std_neg_jou,std_sum_ant,std_sum_jou
2013-01-01,,,,,,,,,1.12,20.03,4.16,3.97,0.229,,4.109842591666668,2.0,0.0,-1.0,9.10682125,-2.7411256,21,-6,6.365695649999999,15,-1.494344899933636,1.3875461342436974,-1.5136738657980937,1.3918914782230098,-1.4827201080615302,-1.4166690673369258
2013-01-02,1.0354,7738.05,7779.22,3416421000.0,0.3589,0.5320461873469424,38.55,0.500682,1.12,20.03,4.16,3.97,0.229,7.76,5.1144414432258065,124.0,-0.7096774193548387,-0.8387096774193549,734.7757437180001,-179.255977197,1905,-851,555.5197665210001,1054,0.550811519010613,-0.3813838063178899,0.6604412556525877,-0.5135422914333413,0.5956455611696908,0.7029439279159779
2013-01-03,0.7407,7826.34,7836.84,4480963000.0,0.4844,0.13416232875137038,47.11999999999989,0.6057162543288388,1.12,20.03,4.16,3.97,0.229,7.91,5.579731659066667,125.0,-0.68,-0.888,833.368121813,-217.818559132,2106,-962,615.549562681,1144,0.8286749201801169,-0.7678357402657544,0.8923930281640458,-0.7638418753763649,0.8228383911745875,0.8865485184576154
2013-01-04,-0.3937,7818.27,7805.99,4172906000.0,0.4401,-0.1570679958609853,-18.56999999999971,-0.23695775338018524,1.12,20.03,4.16,3.97,0.229,8.0,5.037614563743782,134.0,-0.582089552238806,-0.8955223880597015,865.96350412,-242.1905845,2290,-1129,623.77291962,1161,0.9205386520957448,-1.0120781085170751,1.104726989070057,-1.1404187268942474,0.8539610644905553,0.9212293855599246
2013-01-05,,,,,,,,,1.12,20.03,4.16,3.97,0.229,,7.14763803660674,22.0,-0.6092265943012212,-0.8568521031207599,233.797619376,-58.882409675,465,-196,174.91520970099998,269,-0.8610976795590318,0.8249305956454214,-1.0013027862205446,0.9634507489511676,-0.8448162079527879,-0.8984961118083045
2013-01-06,,,,,,,,,1.12,20.03,4.16,3.97,0.229,,7.539525139136703,6.0,-0.8046132971506106,-0.9284260515603799,67.93122338400002,-13.584065817,179,-51,54.34715756700002,128,-1.3285597878941813,1.278884447025665,-1.331343616759236,1.290418673921784,-1.3011262193926367,-1.1861433036568698
2013-01-07,-0.6521,7797.05,7755.09,3868825000.0,0.3953,-0.5381522498893817,-8.9399999999996,-0.11452743341971486,1.12,20.03,4.16,3.97,0.229,7.86,4.799466023756218,134.0,-0.5671641791044776,-0.9253731343283582,930.977489852,-269.308410934,2219,-1139,661.6690789180001,1080,1.103767899103788,-1.2838373098990303,1.022793775894368,-1.1629682389611864,0.9973854341865828,0.755985254072451
2013-01-08,-0.4311,7737.07,7721.66,3738832000.0,0.36,-0.19917100401056026,-18.020000000000437,-0.23236351866967936,1.12,20.03,4.16,3.97,0.229,7.75,5.248969215410053,126.0,-0.746031746031746,-0.9206349206349206,954.407719722,-270.828142616,2144,-1221,683.579577106,923,1.1698014352417263,-1.2990671834739034,0.9362446070468088,-1.3478742379100868,1.080309388765423,0.4356972461275945
2013-01-09,0.2199,7726.4,7738.64,3891674000.0,0.4047,0.15841789190309447,4.739999999999782,0.06138576420095914,1.12,20.03,4.16,3.97,0.229,7.79,4.825799557747396,128.0,-0.65625,-0.921875,822.521010517,-249.344396525,1930,-990,573.1766139920001,940,0.7981044511863931,-1.0837694827310909,0.689290978601774,-0.8269805091637943,0.6624708613124607,0.4703781132299037
2013-01-10,0.9433,7780.98,7811.64,5021568000.0,0.5434,0.39403776902139276,42.339999999999236,0.5471245593540885,1.12,20.03,4.16,3.97,0.229,7.96,6.78330463312325,119.0,-0.6134453781512605,-0.9159663865546218,1043.150524503,-269.280714283,2523,-1003,773.8698102200001,1520,1.419905733791155,-1.283559750052004,1.3736064069564735,-0.8562948748508151,1.4220279168160024,1.6536076967204565
2013-01-11,0.0961,7843.57,7819.15,3732799000.0,0.3936,-0.3113378219356756,31.92999999999938,0.4087489950893715,1.12,20.03,4.16,3.97,0.229,8.0,5.696500905932203,118.0,-0.6440677966101694,-0.8813559322033898,871.834622055,-217.507574367,2329,-1054,654.327047688,1275,0.9370852536648278,-0.7647192304826399,1.1497325568707877,-0.9712973863922044,0.9695982858064334,1.1537952002459988
2013-01-12,,,,,,,,,1.12,20.03,4.16,3.97,0.229,,6.29556243699388,24.0,-0.780367231638418,-0.9406779661016949,174.221907093,-50.539188242,465,-213,123.682718851,252,-1.0290002128167186,0.9085415442995554,-1.0013027862205446,0.9251165784373712,-1.0387141607858743,-0.9331769789106136
2013-01-13,,,,,,,,,1.12,20.03,4.16,3.97,0.229,,6.1964719952826535,7.0,-0.7473264729620661,-0.8274818401937045,64.49172,-19.246347675,120,-72,45.245372325000005,48,-1.3382533577935842,1.222140327083946,-1.3994289629193155,1.243064698581212,-1.335573451925548,-1.3493473841383252
2013-01-14,0.0616,7795.68,7823.97,3409241000.0,0.3521,0.36289329474785986,-23.469999999999345,-0.300160503379515,1.12,20.03,4.16,3.97,0.229,8.08,5.536796943173334,125.0,-0.728,-0.936,957.946457454,-272.671790284,2296,-1102,685.2746671700002,1194,1.1797746778093512,-1.3175431560635504,1.1116509225778617,-1.079535044313512,1.0867247413634382,0.988551068758525
2013-01-15,-0.7535,7823.51,7765.02,4055375000.0,0.4116,-0.7476183963463942,-0.4600000000000364,-0.005879368146861968,1.12,20.03,4.16,3.97,0.229,8.08,4.02083829002849,117.0,-0.7606837606837606,-0.9487179487179487,762.709446172,-250.517109432,1809,-1112,512.19233674,697,0.6295372148615275,-1.0955217344770884,0.5496583195277122,-1.1020845563804509,0.4316656375573056,-0.0253542812325173
2013-01-16,-0.8318,7766.09,7700.43,3659803000.0,0.3712,-0.8454705005993988,1.069999999999709,0.013779745576955485,1.12,20.03,4.16,3.97,0.229,7.96,3.923427441596045,118.0,-0.6271186440677966,-0.864406779661017,730.4475825200001,-254.933174939,1658,-1091,475.5144075810001,567,0.5386134402694011,-1.13977699359063,0.3754059929146268,-1.0547305810398788,0.2928518641081654,-0.2905609120148826
2013-01-17,-1.0881,7748.57,7616.64,4774599000.0,0.4978,-1.7026367445864123,48.13999999999942,0.6251598936682681,1.12,20.03,4.16,3.97,0.229,7.77,4.314197025702479,121.0,-0.5867768595041323,-0.9338842975206612,877.370772413,-286.201206427,1924,-1181,591.1695659860001,743,0.9526878144061603,-1.4531271541075808,0.6823670450939693,-1.2576761896423303,0.7305682053841204,0.0684880650443195
2013-01-18,1.526,7697.28,7732.87,3431132000.0,0.356,0.46237112330589697,80.63999999999942,1.0587345601209905,1.12,20.03,4.16,3.97,0.229,7.13,6.722367125513889,120.0,-0.55,-0.85,1005.842557203,-260.817147548,2359,-990,745.0254096550001,1369,1.314760499595568,-1.1987427702566502,1.1843522244098112,-0.8269805091637943,1.3128614459405965,1.345559994811709
2013-01-19,,,,,,,,,1.12,20.03,4.16,3.97,0.229,,7.488333808109509,26.0,-0.6211538461538462,-0.925,254.431368512,-63.458221316,615,-256,190.973147196,359,-0.8029454793120429,0.7790744529984832,-0.8282044485254266,0.8281536765495331,-0.784042250736492,-0.714891521266667
2013-01-20,,,,,,,,,1.12,20.03,4.16,3.97,0.229,,6.076606654054754,1.0,-0.8105769230769231,-0.9625,5.82811535,-0.4821948,9,-4,5.34592055,5,-1.5035852934651797,1.4101838346390143,-1.5275217328137032,1.3964013806363975,-1.486579617934261,-1.4370695773971076
2013-01-21,-0.1028,7725.36,7724.92,2622100000.0,0.247,-0.005695527457614919,-7.510000000000218,-0.09711788766654836,1.12,20.03,4.16,3.97,0.229,7.11,5.227762752849003,117.0,-0.6581196581196581,-0.8803418803418803,767.9534119580001,-196.681228249,1932,-877,571.272183709,1055,0.6443163103359311,-0.5560096127517831,0.691598956437709,-0.5721710228073829,0.6552632255512368,0.704983978921996
2013-01-22,0.4425,7746.79,7759.1,2764855000.0,0.259,0.15890452690727902,21.86999999999989,0.2831097279971817,1.12,20.03,4.16,3.97,0.229,7.03,4.97080314088983,118.0,-0.7796610169491526,-0.9830508474576272,796.804729131,-252.259581138,1908,-1044,544.545147993,864,0.7256281244214506,-1.112983779984523,0.66390322240649,-0.9487478743252652,0.5541102770092239,0.315334236772521
